primaryTitle,tconst,directors,writers
Pink Floyd: Live at Pompeii,tt0069090,nm0531066,\N
Sleuth,tt0069281,nm0000581,nm0787289
Solaris,tt0069293,nm0001789,"nm0501015,nm0330830,nm0001789"
Walter Defends Sarajevo,tt0069452,nm0472954,nm0495848
Veronica,tt0069458,nm0098208,"nm0098208,nm0411585"
Cries & Whispers,tt0069467,nm0000005,nm0000005
Vuk samotnjak,tt0069478,nm0323281,"nm0323281,nm0674464"
Ten from Your Show of Shows,tt0069663,nm0509501,"nm0000316,nm0128377,nm0435974,nm0509501,nm0866061,nm0917026"
Distant Thunder,tt0069737,nm0006249,"nm0051808,nm0006249"
Les dernières fiançailles,tt0069963,nm0498877,nm0498877
The Exorcist,tt0070047,nm0001243,nm0087861
Ivan Vasilyevich Changes His Profession,tt0070233,nm0301145,"nm0119888,nm0049069,nm0301145"
Juvenile Court,tt0070258,nm0936464,\N
Ladies and Gentlemen: The Rolling Stones,tt0070283,nm0083132,\N
Nirmalyam,tt0070449,nm0619760,nm0619760
Day for Night,tt0070460,nm0000076,"nm0000076,nm0723827,nm0771535"
Paper Moon,tt0070510,nm0000953,"nm0113872,nm0765091"
Papillon,tt0070511,nm0769874,"nm0874308,nm0783913,nm0153508,nm0001279"
The Sting,tt0070735,nm0001351,nm0911486
Only Old Men Are Going to Battle,tt0070861,nm0125904,"nm0125904,nm0648832,nm0766362"
Actorul si salbaticii,tt0071101,nm0546149,nm0691489
Ali: Fear Eats the Soul,tt0071141,nm0001202,nm0001202
Beautiful People,tt0071143,nm0371059,nm0371059
Chinatown,tt0071315,nm0000591,"nm0001801,nm0000591"
Dersu Uzala,tt0071411,nm0000041,"nm0000041,nm0619330,nm0037539"
The Godfather: Part II,tt0071562,nm0000338,"nm0000338,nm0701374"
Hearts and Minds,tt0071604,nm0205282,\N
