primaryTitle,startYear,averageRating,directors,genres,numVotes,originalTitle,runtimeMinutes,tconst,writers
Trivikrama,2022,8.6,nm6579465,"Comedy,Drama,Romance",1098,Trivikrama,151,tt11306896,nm6579465
Shutter Island,2010,8.2,nm0000217,"Mystery,Thriller",1319064,Shutter Island,138,tt1130884,"nm0436164,nm1212331"
Agora II: Chained,2020,8.5,nm2513694,Documentary,159,Agora II: Desmotes,110,tt11313114,nm2513694
Raymo,2022,8.1,nm5824384,"Drama,Family,Romance",118,Raymo,157,tt11318336,nm5824384
The Campus,2005,8.7,nm0595896,"Crime,Drama,Romance",214,The Campus,\N,tt1132141,nm1015055
White Diamond,2007,8.0,nm1298075,"Documentary,Music",136,White Diamond,111,tt1132195,\N
Encounter in the Air,2019,8.1,nm5367447,Drama,107,Encounter in the Air,90,tt11322188,nm5367447
Ayyappanum Koshiyum,2020,8.0,nm2819123,"Action,Drama,Thriller",8939,Ayyappanum Koshiyum,177,tt11322920,nm2819123
The Gary I Knew,2020,8.0,nm1082768,Documentary,203,The Gary I Knew,\N,tt11332658,\N
Reel Rock 14,2019,8.2,"nm1355731,nm2050348,nm1957599,nm5180979,nm2833230","Adventure,Documentary,Sport",224,Reel Rock 14,102,tt11342846,\N
Soul Land,2019,8.8,\N,Animation,104,Soul Land,120,tt11358988,\N
Hridayam,2022,8.1,nm2068971,"Drama,Musical,Romance",12733,Hridayam,172,tt11375428,nm2068971
Resacón en China,2019,9.0,nm11174452,Comedy,445,Resacón en China,\N,tt11378230,nm11174452
I Am Because We Are,2008,8.2,nm2831539,Documentary,397,I Am Because We Are,90,tt1138006,nm0000187
Mudhal Nee Mudivum Nee,2022,8.0,nm4254923,"Drama,Fantasy,Romance",3396,Mudhal Nee Mudivum Nee,148,tt11396226,nm4254923
Saving Luna,2007,8.5,"nm2832640,nm0661401",Documentary,123,Saving Luna,92,tt1140873,nm0661401
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021,8.0,nm0859821,"Documentary,Music",12188,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",118,tt11422728,\N
Pawankhind,2022,8.5,nm9829530,"Action,Drama,History",7627,Pawankhind,153,tt11423818,nm9829530
Budapest - the capital of Hungary,2019,9.7,nm5954636,Documentary,137,Budapest - the capital of Hungary,61,tt11426730,nm5954636
Pichhodu,2019,9.5,nm11198656,Drama,734,Pichhodu,128,tt11428992,nm11198656
Fighting for Life,2008,8.1,nm0761739,"Documentary,War",154,Fighting for Life,89,tt1143105,"nm0761739,nm0936511"
Lata Bhagwan Kare,2020,9.6,nm11199071,"Biography,Drama",108,Lata Bhagwan Kare,128,tt11434354,nm11199071
It All Begins with a Song,2018,8.4,nm2853617,"Documentary,Music",101,It All Begins with a Song,85,tt11461118,nm3476157
American Gospel: Christ Crucified,2019,9.0,nm4432410,Documentary,289,American Gospel: Christ Crucified,176,tt11465650,nm4432410
Mathu Vadalara,2019,8.2,nm11215129,"Comedy,Crime,Thriller",4163,Mathu Vadalara,130,tt11469744,"nm11215129,nm11223793"
Ekda Kaay Zala,2022,8.0,nm10421569,"Drama,Family",162,Ekda Kaay Zala,130,tt11492862,nm10421569
Veshadhari,2020,8.3,nm11225843,Drama,274,Veshadhari,\N,tt11496966,\N
30 de ani de democratie,2019,9.3,"nm6476179,nm6689411",Documentary,448,30 de ani de democratie,181,tt11501556,\N
Dear Zachary: A Letter to a Son About His Father,2008,8.5,nm0473936,"Biography,Crime,Documentary",37528,Dear Zachary: A Letter to a Son About His Father,95,tt1152758,nm0473936
Oh Meri Laila,2022,9.5,nm11239603,Comedy,478,Oh Meri Laila,147,tt11531610,"nm11239603,nm11239604"
Utthara,2020,8.5,nm11252654,Romance,1061,Utthara,132,tt11546078,\N
Farha,2021,8.3,nm4627221,Drama,77849,Farha,92,tt11555492,nm4627221
Thattassery Koottam,2022,9.7,nm5644356,Comedy,435,Thattassery Koottam,121,tt11561750,"nm10629499,nm11252683"
Puujee,2006,8.5,nm2577586,Documentary,122,Puujee,110,tt1157700,nm2577586
Slingshot Hip Hop,2008,8.1,nm1803886,"Documentary,Music",146,Slingshot Hip Hop,80,tt1157718,\N
Stranded,2007,8.0,nm0034820,Documentary,1320,Stranded: I've Come from a Plane That Crashed on the Mountains,130,tt1157720,"nm0034820,nm1646992"
Sarpatta Parambarai,2021,8.5,nm3163794,"Action,Drama,Sport",23218,Sarpatta Parambarai,173,tt11580854,"nm12804700,nm3163794"
Karnan,2021,8.0,nm6041683,"Action,Drama",22377,Karnan,158,tt11581174,nm6041683
Still Human,2022,8.9,nm3136855,Documentary,102,Still Human,120,tt11584270,\N
The Weight of Chains 3,2019,9.2,nm3340250,Documentary,607,The Weight of Chains 3,123,tt11595416,nm3340250
